City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Vao,NC,-22.6667,167.4833,75.99,78,46,6.26,scattered clouds
267,Tarecuato,MX,19.85,-102.4833,82.4,26,1,11.5,clear sky
268,Naze,JP,28.3667,129.4833,65.46,71,64,18.54,broken clouds
269,Wahiawa,US,21.5028,-158.0236,78.8,53,75,10.36,broken clouds
270,Gayny,RU,60.3071,54.3241,31.8,95,27,4.83,scattered clouds
271,Southbridge,US,42.0751,-72.0334,48.0,84,100,5.99,overcast clouds
272,Kharhial,IN,20.2833,82.7667,84.16,37,83,2.06,broken clouds
273,Chuy,UY,-33.6971,-53.4616,63.84,78,95,18.9,overcast clouds
274,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,88,40,9.44,scattered clouds
275,Bejar,ES,40.3864,-5.7634,50.0,78,22,3.0,few clouds
276,Vittoria,IT,36.9537,14.5332,55.4,76,55,9.22,broken clouds
277,Seydi,TM,39.4816,62.9137,55.06,37,0,14.47,clear sky
278,Arrecife,ES,28.963,-13.5477,68.0,77,20,9.22,few clouds
279,Belgrade,RS,44.804,20.4651,57.99,58,0,5.75,clear sky
280,Buriti Bravo,BR,-5.8372,-43.8336,79.59,72,100,2.55,moderate rain
281,Mangan,IN,27.5167,88.5333,64.56,38,29,7.34,scattered clouds
282,Kyra,RU,49.5776,111.9753,15.26,54,1,15.21,clear sky
283,Avera,US,33.194,-82.5271,78.8,57,75,12.66,broken clouds
284,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,69,0,6.91,clear sky
285,Bethel,US,41.3712,-73.414,55.99,88,90,12.66,mist
286,Gerash,IR,27.6652,54.1371,69.8,37,0,2.33,clear sky
287,Assiniboia,CA,49.6334,-105.9845,33.8,75,100,24.16,overcast clouds
288,Vanimo,PG,-2.6741,141.3028,78.46,87,100,4.21,overcast clouds
289,Fortuna,US,40.5982,-124.1573,59.0,62,1,14.97,clear sky
290,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.2,54,90,16.11,overcast clouds
291,Leningradskiy,RU,69.3833,178.4167,-5.04,83,9,5.82,clear sky
292,Djibo,BF,14.1022,-1.6306,89.04,6,0,5.73,clear sky
293,Marsa Matruh,EG,31.3525,27.2453,55.4,58,0,4.61,clear sky
294,Warmbad,NA,-28.45,18.7333,80.37,22,5,5.01,clear sky
295,Rumphi,MW,-11.0186,33.8575,62.51,97,70,3.33,broken clouds
296,Inuvik,CA,68.3499,-133.7218,8.6,36,9,4.61,clear sky
297,Novonikolayevskiy,RU,50.9738,42.3649,42.01,93,97,9.28,overcast clouds
298,Muros,ES,42.7762,-9.0603,48.0,54,0,5.01,clear sky
299,Onguday,RU,50.75,86.15,33.01,76,1,3.06,clear sky
300,Salinopolis,BR,-0.6136,-47.3561,78.8,87,73,8.23,broken clouds
301,Klaksvik,FO,62.2266,-6.589,30.2,80,82,2.3,broken clouds
302,Puerto Colombia,CO,10.9878,-74.9547,84.2,70,75,10.36,broken clouds
303,Bonfim,BR,3.0833,-59.95,84.2,74,40,9.22,scattered clouds
304,Beloha,MG,-25.1667,45.05,72.23,89,22,11.16,few clouds
305,Srednekolymsk,RU,67.45,153.6833,-11.99,93,95,2.93,overcast clouds
306,Bristol,US,41.8334,-71.1662,46.99,87,90,5.75,overcast clouds
307,Lorengau,PG,-2.0226,147.2712,77.9,89,100,15.84,heavy intensity rain
308,Vetlanda,SE,57.4289,15.0776,37.4,100,90,3.44,light rain
309,Provideniya,RU,64.3833,-173.3,11.62,84,100,29.24,light snow
310,Dobryanka,RU,58.4619,56.4165,37.4,100,100,2.24,mist
311,Mount Isa,AU,-20.7333,139.5,64.4,32,0,11.5,clear sky
312,Taoudenni,ML,22.6783,-3.9836,87.93,13,0,7.76,clear sky
313,Umarizal,BR,-5.9906,-37.8144,75.76,88,99,8.46,moderate rain
314,La Rioja,ES,42.25,-2.5,46.4,71,75,10.36,broken clouds
315,Laguna,US,38.421,-121.4238,82.0,22,1,4.61,clear sky
316,Arawa,PG,-6.2132,155.5367,83.03,69,93,0.22,overcast clouds
317,Najran,SA,17.4924,44.1277,80.6,17,20,5.75,few clouds
318,Mahdasht,IR,35.7299,50.8111,60.8,41,75,13.8,broken clouds
319,Opuwo,NA,-18.0607,13.84,70.92,34,2,8.28,clear sky
320,Pasighat,IN,28.0667,95.3333,68.95,67,52,6.31,broken clouds
321,Shelburne,CA,44.0787,-80.2041,61.0,74,90,8.57,overcast clouds
